"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","10.03","","","","2"
"2003","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","10.03","","","","2"
"2004","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-5.77","","","","2"
"2005","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-7.37","","","","2"
"2006","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-9.62","","","","2"
"2007","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-9.32","","","","2"
"2008","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","1.78","","","","2"
"2009","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","2.86","","","","2"
"2010","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","0.12","","","","2"
"2011","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","2.14","","","","2"
"2012","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","1.30","","","","2"
"2013","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-10.78","","","","2"
"2014","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-18.63","","","","2"
"2015","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-11.44","","","","2"
"2016","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","5.53","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-5.97","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","14.40","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","16.46","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44386003","4.1.3","-12.32","","","","2"
"2011","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","","..","","","0"
"2012","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","","..","","","0"
"2013","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","","..","","","0"
"2014","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","","..","","","0"
"2015","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","","..","","","0"
"2016","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","","..","","","0"
