"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-9.15","","","","2"
"2014","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-4.17","","","","2"
"2015","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","0.01","","","","2"
"2016","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","1.72","","","","2"
"2017","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","4.12","","","","2"
"2018","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","5.86","","","","2"
"2019","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","0.78","","","","2"
"2020","Ontario [35]","2016A000235","Total, all violations [0]","Percentage change in rate","Percent","239","units","0","v44328393","16.1.3","-11.00","","","","2"
"2011","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","","..","","","0"
"2012","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","","..","","","0"
"2013","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","","..","","","0"
"2014","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","","..","","","0"
"2015","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","","..","","","0"
"2016","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","","..","","","0"
"2017","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","36334","","","","0"
"2018","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","31302","","","","0"
"2019","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","27637","","","","0"
"2020","Ontario [35]","2016A000235","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000158431","16.1.15","23704","","","","0"
"2011","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","","..","","","2"
"2012","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","","..","","","2"
"2013","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","","..","","","2"
"2014","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","","..","","","2"
"2015","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","","..","","","2"
"2016","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","","..","","","2"
"2017","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","5.72","","","","2"
"2018","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","4.63","","","","2"
"2019","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","4.01","","","","2"
"2020","Ontario [35]","2016A000235","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000158432","16.1.16","3.83","","","","2"
"1998","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","359723","","","","0"
"1999","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","354765","","","","0"
"2000","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","374654","","","","0"
"2001","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","349502","","","","0"
"2002","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","356200","","","","0"
"2003","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","319478","","","","0"
"2004","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","312259","","","","0"
"2005","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","318724","","","","0"
"2006","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","328814","","","","0"
"2007","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","322877","","","","0"
"2008","Ontario [35]","2016A000235","Total, all violations [0]","Total cleared","Number","223","units","0","v44403864","16.1.4","323364","","","","0"
