"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","13.71","","","","2"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151744","5.1.16","13.56","","","","2"
"1998","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","31950","","","","0"
"1999","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","34183","","","","0"
"2000","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","29331","","","","0"
"2001","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","28550","","","","0"
"2002","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","29261","","","","0"
"2003","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","33201","","","","0"
"2004","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","30772","","","","0"
"2005","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","29812","","","","0"
"2006","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","33480","","","","0"
"2007","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","34174","","","","0"
"2008","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","33883","","","","0"
"2009","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","32680","","","","0"
"2010","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","32648","","","","0"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","32641","","","","0"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","32082","","","","0"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","28312","","","","0"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","26721","","","","0"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","25147","","","","0"
"2016","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","25101","","","","0"
"2017","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","24546","","","","0"
"2018","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","24674","","","","0"
"2019","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","23251","","","","0"
"2020","Nova Scotia [12]","2016A000212","Total, all violations [0]","Total cleared","Number","223","units","0","v44374736","5.1.4","21586","","","","0"
"1998","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","20381","","","","0"
"1999","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","20306","","","","0"
"2000","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","17780","","","","0"
"2001","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","17991","","","","0"
"2002","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","18169","","","","0"
"2003","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","19747","","","","0"
"2004","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","18759","","","","0"
"2005","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","16422","","","","0"
"2006","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","18148","","","","0"
"2007","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","20773","","","","0"
"2008","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","20930","","","","0"
"2009","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","20143","","","","0"
"2010","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","19940","","","","0"
"2011","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","19390","","","","0"
"2012","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","18342","","","","0"
"2013","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","16558","","","","0"
"2014","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","16380","","","","0"
"2015","Nova Scotia [12]","2016A000212","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44366813","5.1.5","15300","","","","0"
