"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","","..","","","0"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","","..","","","0"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","","..","","","0"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","","..","","","0"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","","..","","","0"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","","..","","","0"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","9075","","","","0"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","8416","","","","0"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","8450","","","","0"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000152959","7.1.15","7857","","","","0"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","","..","","","2"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","","..","","","2"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","","..","","","2"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","","..","","","2"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","","..","","","2"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","","..","","","2"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","17.06","","","","2"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","15.28","","","","2"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","13.87","","","","2"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000152960","7.1.16","12.94","","","","2"
"1998","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","28868","","","","0"
"1999","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","26902","","","","0"
"2000","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","22616","","","","0"
"2001","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","22339","","","","0"
"2002","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","20242","","","","0"
"2003","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","20792","","","","0"
"2004","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","22559","","","","0"
"2005","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","22632","","","","0"
"2006","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","22964","","","","0"
"2007","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","22544","","","","0"
"2008","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","24400","","","","0"
"2009","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","24220","","","","0"
"2010","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","23785","","","","0"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","20842","","","","0"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","20535","","","","0"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","17575","","","","0"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","16455","","","","0"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","15999","","","","0"
"2016","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","17381","","","","0"
"2017","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","17958","","","","0"
"2018","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","17746","","","","0"
"2019","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","17194","","","","0"
"2020","New Brunswick [13]","2016A000213","Total, all violations [0]","Total cleared","Number","223","units","0","v44333657","7.1.4","15635","","","","0"
"1998","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","17406","","","","0"
"1999","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","16129","","","","0"
"2000","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","16048","","","","0"
"2001","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","15763","","","","0"
"2002","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","13706","","","","0"
"2003","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","13390","","","","0"
"2004","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","13168","","","","0"
"2005","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","12127","","","","0"
"2006","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","12377","","","","0"
"2007","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","12931","","","","0"
"2008","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","13908","","","","0"
"2009","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","14080","","","","0"
"2010","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","14110","","","","0"
"2011","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","13356","","","","0"
"2012","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","13302","","","","0"
"2013","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","12205","","","","0"
"2014","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","11422","","","","0"
"2015","New Brunswick [13]","2016A000213","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44387214","7.1.5","11453","","","","0"
